x,y,z
-0.055829,-0.971395,1.35837
-0.05544,-0.973045,1.330514
-0.055732,-0.974399,1.351847
-0.055326,-0.974574,1.322511
-0.070063,-0.973431,1.339977
-0.070262,-0.971138,1.347243
-0.069646,-0.977222,1.324701
-0.06992,-0.977656,1.334969
-0.033994,0.162987,0.194702
-0.034087,0.154978,0.194803
-0.034006,0.148951,0.194562
-0.034264,0.163987,0.195065
-0.034244,0.153965,0.194943
-0.034287,0.149951,0.194936
0.28252,-0.431912,0.105743
0.280692,-0.433225,0.10621
0.275772,-0.43457,0.103958
0.277401,-0.433273,0.102993
-0.015655,-0.092363,0.179733
-0.015982,-0.09241,0.179969
-0.015823,-0.093478,0.180052
7.348806,-0.187113,0.103024
7.356882,-0.251584,0.102721
7.347918,-0.21918,0.102979
7.347292,-0.251311,0.027176
7.343325,-0.21909,0.027367
7.318235,-0.186375,0.028233
2.393623,-0.566662,-0.098644
2.389229,-0.576726,-0.098003
2.388651,-0.577424,-0.123449
-0.011873,1.2484,0.011301
-0.011016,1.247497,0.005923
-0.011293,1.240252,0.023419
-0.013632,1.248158,0.022369
-0.01273,1.249279,0.016682
-0.014075,1.2484,0.011438
-0.013275,1.247497,0.006051
-0.012659,1.238686,0.002017
-0.02493,-0.438888,0.254168
-0.026219,-0.43884,0.25381
-0.026393,-0.439804,0.254152
0.932235,0.064121,-0.233923
0.931984,0.068641,-0.233777
0.931589,0.059543,-0.233586
0.222242,-0.4109,0.564537
0.228171,-0.411236,0.565314
0.204735,-0.410454,0.56256
0.217043,-0.411963,0.564902
-0.024067,-2.213233,0.407756
-0.024756,-2.215019,0.398201
-0.028432,-2.215019,0.397652
1.127208,1.279916,1.345631
1.091646,1.280543,1.381221
1.066617,1.279916,1.403204
0.03864,-0.344513,0.243424
0.038632,-0.34459,0.242282
0.038396,-0.34459,0.242686
0.0372,-0.34466,0.243597
0.037407,-0.34459,0.244283
-0.337462,1.275326,0.069764
-0.340706,1.276287,0.076565
-0.33921,1.276287,0.073062
-0.643715,0.171796,1.870077
-0.643807,0.179621,1.870286
-0.643888,0.187452,1.870463
-0.643957,0.195287,1.870607
-0.023199,0.091256,0.182885
-0.022842,0.092195,0.182494
-0.023232,0.089169,0.182742
-0.023891,0.090049,0.182843
-0.144856,1.10168,-0.245706
-0.144726,1.087678,-0.245229
-0.144828,1.017761,-0.246375
-0.155146,1.081905,-0.245109
-0.160962,1.077945,-0.247222
0.466762,-0.407796,0.246318
0.467611,-0.409114,0.25609
0.47531,-0.408934,0.260956
0.47277,-0.409693,0.250986
0.454037,-0.407839,0.25624
0.462075,-0.407838,0.256152
0.455142,-0.408508,0.251369
0.455122,-0.409177,0.260965
-0.549239,0.726016,1.229953
-0.547461,0.730483,1.226346
-0.552923,0.726194,1.178715
-0.556338,0.724088,1.185222
-0.562858,0.72655,1.223396
-0.56789,0.72618,1.207193
-0.566614,0.72471,1.230736
-0.577915,0.725771,1.226271
-0.566418,0.724088,1.179342
-0.161736,0.541894,-0.234118
-0.162322,0.539794,-0.236404
-0.162906,0.537684,-0.238681
0.149343,1.173845,0.536103
0.149125,1.16962,0.516541
0.148123,1.173279,0.542588
1.945286,0.687009,1.47233
2.005088,0.686447,1.44397
1.96987,0.684483,1.487507
1.927664,0.6853,1.48886
1.846811,0.687239,1.491965
1.910951,0.685828,1.451123
1.863526,0.684016,1.448345
0.024407,-0.337897,0.342886
0.023817,-0.33726,0.347582
0.023831,-0.340471,0.350335
0.046042,0.180701,0.16763
0.045941,0.177593,0.167657
0.045963,0.172343,0.167663
-0.492913,1.265933,0.126473
-0.492815,1.263143,0.131999
-0.493365,1.262212,0.13732
0.537857,0.654353,0.374937
0.535385,0.663031,0.374445
0.535673,0.669295,0.374517
-0.029203,1.275965,0.722674
-0.029396,1.276276,0.716381
-0.041013,1.277209,0.715918
-0.046134,1.276557,0.708815
-0.051494,1.275965,0.720881
0.475896,0.469026,0.372434
0.47701,0.461946,0.372673
0.475751,0.464802,0.372393
0.473895,0.471194,0.371983
0.716903,0.363301,0.294323
0.71848,0.360159,0.294387
0.71899,0.359712,0.279258
0.716202,0.366892,0.2943
0.715824,0.365983,0.279197
0.715159,0.365983,0.286751
0.715565,0.354794,0.294248
0.716302,0.354794,0.286767
0.714747,0.357924,0.286721
-0.002709,0.431639,2.243927
-0.002727,0.440889,2.243979
-0.028426,0.4508,2.246719
-0.028451,0.459859,2.245708
-0.049449,0.450366,2.244362
-0.049467,0.459638,2.244328
-0.028389,0.432265,2.246663
-0.02842,0.441102,2.244758
-0.026331,-0.6518,2.231247
-0.047213,-0.653341,2.235622
-0.047201,-0.664005,2.238452
0.721261,0.35417,0.083013
0.721768,0.353735,0.090711
0.722752,0.350969,0.082633
0.720628,0.349244,0.090976
0.718031,0.3533,0.075855
0.716535,0.356487,0.076254
0.719514,0.350107,0.075459
0.053913,-0.357746,0.263117
0.052656,-0.356995,0.262507
0.0535,-0.358973,0.26182
0.051436,-0.357984,0.264155
0.050483,-0.359205,0.263544
0.052078,-0.360194,0.261803
-0.269176,0.564676,-0.246246
-0.269332,0.560163,-0.246595
-0.269176,0.554939,-0.246291
-0.28914,0.569547,-0.245182
-0.289954,0.566441,-0.24677
-0.028425,1.277483,1.033268
-0.038692,1.278133,1.041109
-0.038863,1.276889,1.016899
-0.047208,1.277291,1.040123
-0.04718,1.276639,1.031859
-0.04713,1.276889,1.016453
7.378852,-0.158754,1.703193
7.382936,-0.159176,1.782359
7.362532,-0.158079,1.619963
-0.478157,0.848066,-0.198972
-0.479096,0.849218,-0.190428
-0.478733,0.840858,-0.190094
-0.005231,-0.199982,0.123905
-0.005565,-0.200359,0.124712
-0.004986,-0.200732,0.125468
-0.00605,-0.199811,0.125881
-0.005923,-0.199601,0.123156
-0.006247,-0.199982,0.123966
-0.268937,1.06881,-0.25672
-0.268725,1.045388,-0.256373
-0.275096,1.074154,-0.256336
-0.2753,1.052481,-0.256868
-0.6382,0.679091,1.279016
-0.641512,0.684466,1.258773
-0.645702,0.69467,1.292448
-0.651462,0.709993,1.27614
-0.64694,0.697673,1.26825
-0.648982,0.698877,1.24034
-0.480466,-0.320566,1.889388
-0.480333,-0.31263,1.888817
-0.480689,-0.305053,1.890117
-0.481037,-0.297469,1.891385
-0.012892,0.102992,0.179791
-0.012921,0.102977,0.179762
-0.012967,0.103998,0.17983
1.875041,0.61453,2.249124
1.873828,0.626799,2.247887
1.876006,0.589565,2.250063
1.874195,0.601619,2.248199
1.837049,0.621264,2.248494
1.837381,0.596297,2.248775
-0.265921,-0.658702,1.21147
-0.266661,-0.663046,1.168623
-0.268289,-0.661518,1.175475
-0.275969,-0.658161,1.207848
-0.014609,0.089893,0.180189
-0.014589,0.090916,0.180229
-0.014399,0.089828,0.179966
-0.014843,0.088881,0.180254
-0.014748,0.089851,0.180146
-0.524368,-1.732373,0.599729
-0.524589,-1.731423,0.583976
-0.52484,-1.744561,0.592022
-0.026095,-0.252984,0.174562
-0.026112,-0.253834,0.173697
-0.026428,-0.25596,0.174493
0.036292,0.134037,0.13177
0.036731,0.133662,0.131385
0.035834,0.132447,0.130984
0.184707,-0.365174,0.338366
0.186659,-0.365089,0.339148
0.183566,-0.365359,0.328444
0.181595,-0.365398,0.32775
0.18009,-0.366298,0.327217
0.036487,0.231583,0.09347
0.037065,0.231037,0.092643
0.034795,0.230893,0.095898
-0.491053,0.818249,0.593917
-0.490799,0.818522,0.585351
-0.490357,0.797355,0.599148
-0.49167,0.812655,0.586117
-0.491702,0.827612,0.586105
-0.491791,0.800838,0.592556
-0.491657,0.801925,0.584901
-0.491594,0.805201,0.586071
2.361427,-0.489467,0.160758
2.347241,-0.486423,0.186183
2.338655,-0.484597,0.210565
-0.032116,-0.815243,1.375583
-0.032122,-0.808475,1.376671
-0.017492,-0.813513,1.373447
-0.044134,-0.799436,1.374037
-0.044149,-0.792129,1.374216
0.068209,-0.359723,0.232115
0.064836,-0.35943,0.228898
0.066519,-0.359962,0.234219
0.940424,-0.203343,2.243261
0.965203,-0.21393,2.240482
0.910499,-0.211172,2.234082
0.835981,-0.199076,2.23804
0.861038,-0.209555,2.237335
0.834446,-0.208318,2.234481
0.055315,-2.197676,0.42933
0.053188,-2.199667,0.430076
0.055011,-2.203689,0.43988
0.053515,-2.201573,0.420322
0.026017,-2.199667,0.435137
0.0264,-2.198715,0.444615
0.022289,-2.195468,0.416041
0.023087,-2.195598,0.425512
0.024687,-2.206426,0.416706
0.025489,-2.205556,0.426139
-1.467635,1.077098,2.246827
-1.469053,1.104136,2.248765
-1.468711,1.064997,2.248412
7.427132,0.167459,0.258794
7.375149,0.166287,0.181983
7.374354,0.198465,0.182056
7.417312,0.102487,0.258669
7.427792,0.13505,0.258729
7.386317,0.102059,0.181733
7.384802,0.134269,0.181814
7.06159,0.220885,0.185509
1.074197,1.277693,1.068508
1.09138,1.277693,1.046289
1.048172,1.278561,1.064589
1.045277,1.278435,1.030494
-0.168263,-0.403327,0.022022
-0.164015,-0.403695,0.033965
-0.167347,-0.404442,0.023528
-0.172059,-0.403005,0.032106
-0.169844,-0.403458,0.007171
-0.169734,-0.403886,0.019595
0.927774,0.256356,-0.123171
0.928624,0.24942,-0.146113
0.927899,0.251794,-0.123234
0.924935,0.254598,-0.111178
0.923901,0.258878,-0.110747
0.925952,0.250313,-0.111602
0.10213,-0.376406,0.208469
0.100503,-0.375842,0.209414
0.099083,-0.376241,0.210236
-0.035473,-0.4972,0.141114
-0.036428,-0.498517,0.143514
-0.036185,-0.508074,0.139834
-0.243138,-0.401523,0.352499
-0.240997,-0.402279,0.350435
-0.249023,-0.401582,0.352429
-0.248073,-0.401987,0.35298
0.006767,0.120399,0.173886
0.00727,0.120312,0.173736
0.005037,0.119412,0.173735
0.005664,0.116534,0.174224
-0.47913,0.829331,2.238739
-0.478958,0.797799,2.238241
-0.479673,0.819905,2.241352
-0.479471,0.788388,2.240715
0.039402,1.178122,0.26979
0.038936,1.179121,0.270191
0.036836,1.178309,0.267264
0.033873,1.180308,0.269491
0.033701,1.180473,0.265517
-0.508723,0.18062,0.401649
-0.508865,0.18329,0.401707
-0.508701,0.163801,0.414095
-0.508913,0.189305,0.407873
-0.509341,0.161431,0.414403
0.296784,0.598427,0.19638
0.296718,0.591765,0.196382
0.2966,0.585114,0.196395
0.890688,0.310852,0.427574
0.888657,0.301299,0.42718
0.889218,0.305909,0.427293
0.045277,-0.336227,0.279774
0.04566,-0.33636,0.284294
0.044656,-0.336227,0.280238
0.044822,-0.33636,0.28488
0.055928,-0.358734,0.260676
0.056026,-0.358973,0.25837
0.054363,-0.358973,0.260692
0.174599,-0.390543,0.207127
0.173687,-0.389627,0.201351
0.172975,-0.391282,0.207648
0.172085,-0.390364,0.201925
0.171347,-0.392013,0.20817
0.371491,1.280847,0.757003
0.368694,1.280438,0.775673
0.351544,1.280217,0.753237
0.340427,1.281112,0.760927
0.334736,1.281112,0.764467
0.337845,1.281232,0.746221
0.344255,1.280105,0.766158
0.33851,1.280105,0.769738
0.34172,1.280293,0.7514
0.39109,0.25463,0.174088
0.392169,0.25292,0.173838
0.389771,0.254085,0.170178
1.083642,1.280485,1.23472
1.072134,1.279832,1.245778
1.049998,1.281038,1.251905
1.053744,1.280848,1.229214
1.021723,1.280864,1.225751
1.054692,1.280567,1.209199
-0.254763,-0.66533,1.563311
-0.243369,-0.667169,1.584828
-0.250747,-0.667429,1.538075
-0.257464,-0.665833,1.475853
